;Title;Date;Time;Score;Number of Comments
291;Pittsburgh Steelers Chairman Dan Rooney Dies At Age 84;4/14/2017;0:19:23;28;3
292;Worlds largest carbon capture plant opening in Richmond, Texas;4/13/2017;17:50:11;92;21
293;Buffett foundation unveils $90M plan to help girls of color.;4/13/2017;23:04:17;36;15
294;Scott Pruitt hails era of environmental deregulation in speech at coal mine;4/14/2017;0:54:07;24;7
295;Man sets self on fire in downtown Denver suicide attempt;4/13/2017;23:30:09;32;23
296;Facebook puts fake accounts on its most-wanted list - CNET;4/14/2017;9:20:43;4;0
297;Evacuation begins in besieged Syria towns;4/14/2017;9:20:30;4;2
298;S. Korea probes possible meth-smuggling ring involving US soldiers;4/14/2017;10:31:05;2;3
299;Crews knock down fire on Bellagio hotel-casino roof;4/14/2017;12:00:25;3;0
300;Pharmaceutical giant plotted to destroy cancer drugs to drive prices up 4000%;4/14/2017;16:49:11;25526;2758
301;British Woman Stabbed to Death in Israel;4/14/2017;15:50:45;534;290
302;Muslim woman stabbed and beaten after attacker tries to tear off her hijab;4/14/2017;7:09:47;1102;541
303;Judge praises former LDS bishop, while sentencing him for rape, as victim listens;4/14/2017;17:52:03;118;42
304;US drops largest non-nuclear bomb in Afghanistan in area populated by Isis members;4/13/2017;20:43:28;52755;13481
305;Lawyer says passenger dragged from United flight suffered significant concussion, broken nose and lost two front teeth;4/13/2017;19:23:03;13160;2300
306;Georgia officer fired after kicking man in head during traffic stop, police say;4/14/2017;1:11:49;1339;134
307;Air China to suspend Beijing-Pyongyang flights: Chinese state TV;4/14/2017;17:45:40;60;19
308;NYPD reportedly defies sanctuary city status after alerting ICE on illegal immigrants court dates;4/13/2017;16:17:40;13316;6594
309;Musk says Tesla set to unveil semi truck in September;4/13/2017;22:00:02;1703;424
310;Trump signs law targeting funding for abortion providers/Planned Parenthood;4/13/2017;22:20:24;1393;960
311;College Student Says All My Bones Were Shattering in My Face as She Was Body-Slammed by Cop;4/14/2017;5:57:19;326;366
312;Drunk harassed N.J. mom on flight, but United kept booze flowing, report says;4/13/2017;16:50:22;3770;308
313;Manhunt suspect Joseph Jakubowski caught and arrested;4/14/2017;17:12:15;37;5
314;Facebook targets 30,000 fake France accounts before election;4/14/2017;19:14:37;24;2
315;Choate prep school investigation uncovers decades of sexual abuse;4/14/2017;18:19:42;27;2
316;Black Lives Matter release video of police dragging man from his car and kicking him in the face;4/13/2017;15:58:02;3650;1300
317;Vaccination rate jumps in California after tougher inoculation law;4/13/2017;23:32:20;786;145
318;Experimental rocket explosion injures 4 at University of Idaho;4/14/2017;11:42:52;78;8
319;Texas issues mumps advisory: Cases reach 20-year high;4/14/2017;18:39:43;20;8
320;Golden Gate Bridge suicide barriers going up after 1,500 deaths;4/14/2017;17:28:35;24;25
321;Korean president refuses to go jail until they put up new wallpaper;4/14/2017;18:56:07;15;11
322;Court: Woman raped in state hospital cant sue for damages;4/13/2017;19:06:58;1141;199
323;Tesla Inks 1.3million sqft Warehouse Lease Deal, now the Biggest Industrial Lease Deal In San Francisco Bay Area History;4/14/2017;9:55:03;69;11
324;U.S. may launch strike if North Korea reaches for nuclear trigger;4/14/2017;3:54:11;199;175
325;Law enforcement officers may be illegally selling guns, ATF says;4/13/2017;15:51:37;1799;266
326;A Delaware judge on Thursday convicted a 17-year-old girl charged with homicide after a school bathroom fight that left a 16-year-old girl dead.;4/13/2017;18:04:27;1095;260
327;Florida On Fire: A total of 105 active wildfires, spanning some 17,092 acres rage across Florida.;4/14/2017;17:43:49;13;3
328;US Sikhs Launch Ad Campaign That Looks to Push Back on Hate;4/13/2017;21:00:25;483;105
329;China Warns of Storm Clouds Gathering in U.S.-North Korea Standoff;4/14/2017;18:25:08;9;11
330;Scorpion stings man on United Airlines flight;4/13/2017;17:22:18;889;172
331;US lakes soaking up road salt, some heading toward toxic levels;4/14/2017;0:10:32;244;41
332;36 ISIS fighters killed by US mother of all bombs: Afghan official;4/14/2017;10:24:27;34;57
333;Top boarding school acknowledges sexual abuse dating back decades;4/14/2017;18:40:34;7;0
334;Melbourne milk bar bans black teenagers;4/14/2017;10:30:26;25;36
335;CIA director Pompeo denounces WikiLeaks as Hostile Intelligence Service;4/14/2017;14:10:22;15;25
336;Quotes from North Korean official about tensions with US;4/14/2017;11:07:45;25;24
337;Mumps outbreak in Texas reaches 23-year high;4/14/2017;19:25:01;5;3
338;Nintendeo has discontinued the NES classic mini in North America;4/13/2017;23:38:58;175;104
339;Police Search For Owner of Gun Used in Accidental Shooting Streamed on Instagram;4/14/2017;19:00:08;6;0
340;Passengers with smartphones are better than any new airline regulation, says ex-Virgin America chairman;4/14/2017;0:07:44;157;28
341;Pair of Airmen stationed at Dover base charged with trafficking, sexually abusing child in dorms;4/14/2017;18:56:59;4;2
342;First African-American Woman to Serve on States Highest Court Found Dead in Hudson River;4/13/2017;3:45:06;36976;3890
343;Microsoft says U.S. foreign intelligence surveillance requests more than doubled;4/14/2017;2:48:50;89;3
344;Texas student commits suicide after Title IX kangaroo court;4/13/2017;9:13:25;2277;837
345;Woman jailed after police say she lied about being raped at Texas park;4/14/2017;3:08:09;74;12
346;Strangers tip waitress enough to pay off college debt;4/14/2017;5:44:28;41;29
347;NYCs Newest Weapon Against the Rats? Sterilization;4/14/2017;17:34:25;6;1
348;Uber may face $1 million fine over California drunken-driving complaints;4/14/2017;13:09:52;12;1
349;Woman, 74, sues after sting and tough questioning over moon rock;4/14/2017;4:53:54;51;12
350;Nasa announce one of Saturns moons could support alien life in our solar system;4/13/2017;22:09:28;167;33
351;A longtime New Jersey high school teacher who called a student a loser in a Facebook post has had her teaching license suspended for two years.;4/14/2017;19:50:06;2;0
352;Chechnya anti-gay violence: Newspaper fears retribution for reports;4/14/2017;19:42:26;2;0
